,name,year_x,metascore,userscore,openscore,action,fighting,first-person,flight,party,puzzle,racing,real-time,role-playing,simulation,sports,strategy,third-person,turn-based,wargame,wrestling,goty
0,Super Mario 3D World,2013,93.0,8.9,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,flower,2013,91.0,7.2,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Rayman Legends,2013,90.0,8.5,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,The Legend of Zelda: A Link Between Worlds,2013,91.0,9.0,89,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4,Tearaway,2013,87.0,8.9,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Final Fantasy XIV Online: A Realm Reborn,2013,82.33333333333333,6.666666666666668,86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,XCOM: Enemy Within,2013,87.0,7.85,86,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
7,FIFA 14,2013,86.25,5.175,86,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,Resogun,2013,84.0,7.7,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Assassin's Creed IV: Black Flag,2013,85.25,7.925000000000002,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,The Swapper,2013,85.0,8.1,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Rogue Legacy,2013,83.75,7.925,84,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,ZEN Pinball 2,2013,82.0,7.0,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Gone Home,2013,86.0,5.4,84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,Volgarr the Viking,2013,76.0,7.8,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Rocksmith 2014 Edition,2013,87.33333333333331,7.900000000000001,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Skylanders Swap Force,2013,80.4,5.82,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Fez,2013,90.5,6.550000000000002,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,LEGO Marvel Super Heroes,2013,81.0,7.88,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,SteamWorld Dig,2013,81.2,7.68,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,NBA 2K14,2013,85.5,5.525,82,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,The Wolf Among Us: Episode 1 - Faith,2013,84.0,8.700000000000001,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Injustice: Gods Among Us - Ultimate Edition,2013,80.0,7.2,81,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Need for Speed: Rivals,2013,76.75,5.2250000000000005,81,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
