,name,year_x,metascore,userscore,openscore,action,fighting,first-person,flight,party,puzzle,racing,real-time,role-playing,simulation,sports,strategy,third-person,turn-based,wargame,wrestling
2359,Resident Evil 2,2019,91.0,8.733333333333334,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2360,Final Fantasy XIV: Shadowbringers,2019,91.0,8.600000000000001,92,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2361,Disco Elysium,2019,90.0,8.4,92,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2362,Sekiro: Shadows Die Twice,2019,89.66666666666669,7.966666666666666,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2363,Asgard's Wrath,2019,89.0,8.6,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2364,Fire Emblem: Three Houses,2019,89.0,8.7,89,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2365,Devil May Cry 5,2019,88.0,8.133333333333333,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2366,Super Mario Maker 2,2019,88.0,8.5,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2367,Astral Chain,2019,87.0,8.9,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2368,The Legend of Zelda: Link's Awakening,2019,87.0,8.6,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2369,Manifold Garden,2019,85.0,8.0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2370,Apex Legends,2019,88.33333333333331,6.400000000000001,86,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2371,Ni no Kuni: Wrath of the White Witch Remastered,2019,86.0,7.8,86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2372,Outer Wilds,2019,83.66666666666667,6.866666666666667,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2373,Luigi's Mansion 3,2019,85.0,8.6,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2374,F1 2019,2019,86.66666666666669,7.133333333333333,86,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2375,Sunless Skies,2019,86.0,7.0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2376,Assault Android Cactus+,2019,86.0,8.7,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2377,One Finger Death Punch 2,2019,82.0,7.9,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
