,name,platform,metascore,userscore,year,mean_userscore
0,Uncharted 4: A Thief's End,PS4,93,8.4,2018,8.450000000000001
1,INSIDE,XONE,93,8.3,2018,8.450000000000001
2,Out of the Park Baseball 17,PC,92,3.3,2018,7.590909090909091
3,The Witcher 3: Wild Hunt - Blood and Wine,PC,92,9.2,2018,7.590909090909091
4,Overwatch,PC,91,6.6,2018,7.883333333333334
5,Overwatch,XONE,91,5.9,2018,7.883333333333334
6,Forza Horizon 3,XONE,91,8.0,2018,7.883333333333334
7,The Witcher 3: Wild Hunt - Blood and Wine,PS4,91,9.0,2018,7.883333333333334
8,INSIDE,PS4,91,8.3,2018,7.883333333333334
9,Overwatch,PS4,90,6.3,2018,7.561538461538462
10,Stephen's Sausage Roll,PC,90,5.5,2018,7.561538461538462
11,NBA 2K17,XONE,90,5.9,2018,7.561538461538462
12,Kentucky Route Zero - Act IV,PC,90,6.3,2018,7.561538461538462
13,Dark Souls III,PC,89,8.4,2018,8.109523809523811
14,Rez Infinite,PS4,89,7.7,2018,8.109523809523811
15,Axiom Verge,WIIU,89,8.5,2018,8.109523809523811
16,Titanfall 2,PS4,89,8.4,2018,8.109523809523811
17,Dark Souls III,PS4,89,8.8,2018,8.109523809523811
18,Stardew Valley,XONE,89,7.8,2018,8.109523809523811
19,Battlefield 1,PS4,89,7.9,2018,8.109523809523811
20,Stardew Valley,PC,89,8.7,2018,8.109523809523811
21,Ori and the Blind Forest: Definitive Edition,XONE,88,7.8,2018,7.602631578947368
22,Dishonored 2,XONE,88,7.3,2018,7.602631578947368
23,Rise of the Tomb Raider: 20 Year Celebration,PS4,88,8.1,2018,7.602631578947368
24,NBA 2K17,PS4,88,6.3,2018,7.602631578947368
25,XCOM 2,PC,88,7.2,2018,7.602631578947368
26,Dishonored 2,PS4,88,7.9,2018,7.602631578947368
27,Fire Emblem Fates: Special Edition,3DS,88,8.1,2018,7.602631578947368
28,Ori and the Blind Forest: Definitive Edition,PC,88,8.8,2018,7.602631578947368
29,Fire Emblem Fates: Revelation,3DS,88,7.6,2018,7.602631578947368
30,Sid Meier's Civilization VI,PC,88,7.0,2018,7.602631578947368
31,Battlefield 1,PC,88,7.1,2018,7.602631578947368
32,World of Warcraft: Legion,PC,88,7.3,2018,7.602631578947368
33,Keep Talking and Nobody Explodes,PS4,88,6.7,2018,7.602631578947368
34,Owlboy,PC,88,7.6,2018,7.602631578947368
35,XCOM 2,PS4,87,7.4,2018,7.755102040816328
36,The Witness,PS4,87,7.1,2018,7.755102040816328
37,DOOM,XONE,87,8.4,2018,7.755102040816328
38,Battlefield 1,XONE,87,7.6,2018,7.755102040816328
39,Dark Souls III,XONE,87,8.6,2018,7.755102040816328
40,Pokemon Sun,3DS,87,8.4,2018,7.755102040816328
41,Pokemon Moon,3DS,87,8.7,2018,7.755102040816328
42,The Witness,PC,87,6.9,2018,7.755102040816328
43,Fire Emblem Fates: Conquest,3DS,87,8.1,2018,7.755102040816328
44,Rocket League,XONE,87,8.2,2018,7.755102040816328
45,SteamWorld Heist,WIIU,87,7.9,2018,7.755102040816328
46,Pro Evolution Soccer 2017,XONE,87,5.9,2018,7.755102040816328
47,Titanfall 2,XONE,87,8.2,2018,7.755102040816328
48,Odin Sphere Leifthrasir,PS4,87,8.1,2018,7.755102040816328
49,Forza Horizon 3: Blizzard Mountain,XONE,87,7.6,2018,7.755102040816328
50,INSIDE,PC,87,8.6,2018,7.755102040816328
51,XCOM 2,XONE,87,7.6,2018,7.755102040816328
52,Hex: Shards of Fate,PC,87,6.3,2018,7.755102040816328
53,Forza Horizon 3,PC,86,6.9,2018,7.598305084745762
54,The Witness,XONE,86,6.6,2018,7.598305084745762
55,DiRT Rally,XONE,86,8.1,2018,7.598305084745762
56,Killer Instinct Season 3,XONE,86,6.5,2018,7.598305084745762
57,Stardew Valley,PS4,86,7.7,2018,7.598305084745762
58,Rise of the Tomb Raider,PC,86,7.9,2018,7.598305084745762
59,Total War: WARHAMMER,PC,86,7.4,2018,7.598305084745762
60,Picross 3D: Round 2,3DS,86,7.5,2018,7.598305084745762
61,Gears of War 4,PC,86,6.7,2018,7.598305084745762
62,Guilty Gear Xrd -REVELATOR-,PS4,86,8.0,2018,7.598305084745762
63,Dishonored 2,PC,86,6.8,2018,7.598305084745762
64,F1 2016,PC,86,7.7,2018,7.598305084745762
65,Pony Island,PC,86,7.4,2018,7.598305084745762
66,Thumper,PC,86,7.7,2018,7.598305084745762
67,Titanfall 2,PC,86,8.3,2018,7.598305084745762
68,Dying Light: The Following,XONE,86,8.2,2018,7.598305084745762
69,Day of the Tentacle Remastered,PC,86,7.9,2018,7.598305084745762
70,Fire Emblem Fates: Birthright,3DS,86,8.3,2018,7.598305084745762
71,The Legend of Zelda: Twilight Princess HD,WIIU,86,8.5,2018,7.598305084745762
72,Monster Hunter Generations,3DS,85,8.0,2018,7.315625000000002
73,DiRT Rally,PS4,85,7.9,2018,7.315625000000002
74,Crypt of the NecroDancer,PS4,85,6.4,2018,7.315625000000002
75,Hearthstone: Heroes of Warcraft - Whispers of the Old Gods,PC,85,5.3,2018,7.315625000000002
76,Firewatch,XONE,85,4.6,2018,7.315625000000002
77,BlazBlue: Chrono Phantasma Extend,PC,85,7.6,2018,7.315625000000002
78,DOOM,PS4,85,8.3,2018,7.315625000000002
79,Shadow Tactics: Blades of the Shogun,PC,85,8.5,2018,7.315625000000002
80,Pro Evolution Soccer 2017,PS4,85,7.3,2018,7.315625000000002
81,F1 2016,XONE,85,7.8,2018,7.315625000000002
82,Assault Android Cactus,PS4,85,6.3,2018,7.315625000000002
83,Mortal Kombat XL,PS4,85,7.7,2018,7.315625000000002
84,Ratchet & Clank,PS4,85,8.6,2018,7.315625000000002
85,MLB The Show 16,PS4,85,7.2,2018,7.315625000000002
86,The Last Door: Season 2,PC,85,7.2,2018,7.315625000000002
87,Chime Sharp,PC,85,4.7,2018,7.315625000000002
88,FIFA 17,PS4,85,4.8,2018,7.315625000000002
89,DOOM,PC,85,8.4,2018,7.315625000000002
90,Gone Home: Console Edition,PS4,85,4.6,2018,7.315625000000002
91,Valkyria Chronicles Remastered,PS4,84,8.1,2018,7.432954545454547
92,Planet Coaster,PC,84,7.7,2018,7.432954545454547
93,FIFA 17,XONE,84,5.1,2018,7.432954545454547
94,BioShock: The Collection,XONE,84,8.7,2018,7.432954545454547
95,BlazBlue: Central Fiction,PS4,84,7.6,2018,7.432954545454547
96,Salt and Sanctuary,PS4,84,8.1,2018,7.432954545454547
97,Steins;Gate 0,VITA,84,8.6,2018,7.432954545454547
98,Gears of War 4,XONE,84,6.9,2018,7.432954545454547
99,Darkest Dungeon,PC,84,7.8,2018,7.432954545454547
100,Day of the Tentacle Remastered,PS4,84,7.3,2018,7.432954545454547
101,Enter the Gungeon,PC,84,7.8,2018,7.432954545454547
102,Deus Ex: Mankind Divided,PS4,84,7.6,2018,7.432954545454547
103,Thumper,PS4,84,7.3,2018,7.432954545454547
