,name,platform,metascore,userscore,year,mean_userscore
0,Red Dead Redemption 2,PC,94,3.6,2019,6.05
1,Divinity: Original Sin II - Definitive Edition,Switch,94,8.5,2019,6.05
2,Resident Evil 2,XONE,93,8.4,2019,8.4
3,Sekiro: Shadows Die Twice,XONE,91,8.0,2019,8.450000000000001
4,Final Fantasy XIV: Shadowbringers,PC,91,8.9,2019,8.450000000000001
5,Final Fantasy XIV: Shadowbringers,PS4,91,8.3,2019,8.450000000000001
6,NieR: Automata - Game of the YoRHa Edition,PS4,91,8.4,2019,8.450000000000001
7,Resident Evil 2,PS4,91,8.8,2019,8.450000000000001
8,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,Switch,91,8.3,2019,8.450000000000001
9,Monster Hunter: World - Iceborne,XONE,90,8.7,2019,7.9
10,Disco Elysium,PC,90,8.4,2019,7.9
11,Tetris Effect,PC,90,6.5,2019,7.9
12,Sekiro: Shadows Die Twice,PS4,90,8.0,2019,7.9
13,Resident Evil 2,PC,89,9.0,2019,8.033333333333335
14,Ori and the Blind Forest: Definitive Edition,Switch,89,8.7,2019,8.033333333333335
15,Monster Hunter: World - Iceborne,PS4,89,8.4,2019,8.033333333333335
16,Asgard's Wrath,PC,89,8.6,2019,8.033333333333335
17,F1 2019,XONE,89,6.7,2019,8.033333333333335
18,Devil May Cry 5,PC,89,8.6,2019,8.033333333333335
19,Fire Emblem: Three Houses,Switch,89,8.7,2019,8.033333333333335
20,Slay the Spire,PC,89,6.9,2019,8.033333333333335
21,Apex Legends,PS4,89,6.7,2019,8.033333333333335
22,Sekiro: Shadows Die Twice,PC,88,7.9,2019,7.311111111111111
23,What Remains of Edith Finch,Switch,88,7.7,2019,7.311111111111111
24,Apex Legends,PC,88,5.9,2019,7.311111111111111
25,Devil May Cry 5,PS4,88,8.4,2019,7.311111111111111
26,Slay the Spire,PS4,88,5.6,2019,7.311111111111111
27,Super Mario Maker 2,Switch,88,8.5,2019,7.311111111111111
28,Downwell,Switch,88,7.1,2019,7.311111111111111
29,Apex Legends,XONE,88,6.6,2019,7.311111111111111
30,Frostpunk: Console Edition,XONE,88,8.1,2019,7.311111111111111
31,Devil May Cry 5,XONE,87,7.4,2019,7.924999999999999
32,Baba Is You,PC,87,8.0,2019,7.924999999999999
33,The Legend of Zelda: Link's Awakening,Switch,87,8.6,2019,7.924999999999999
34,Cuphead,Switch,87,8.3,2019,7.924999999999999
35,Astral Chain,Switch,87,8.9,2019,7.924999999999999
36,Frostpunk: Console Edition,PS4,87,7.3,2019,7.924999999999999
37,F1 2019,PC,87,7.1,2019,7.924999999999999
38,AI: The Somnium Files,Switch,87,7.8,2019,7.924999999999999
39,Dragon Quest Builders 2,PS4,86,7.7,2019,7.076923076923076
40,Star Wars Pinball,Switch,86,7.4,2019,7.076923076923076
41,Sunless Skies,PC,86,7.0,2019,7.076923076923076
42,Steins;Gate Elite,PS4,86,7.2,2019,7.076923076923076
43,Assault Android Cactus+,Switch,86,8.7,2019,7.076923076923076
44,The Outer Worlds,PS4,86,8.3,2019,7.076923076923076
45,Fell Seal: Arbiter's Mark,PS4,86,6.5,2019,7.076923076923076
46,Ni no Kuni: Wrath of the White Witch Remastered,PS4,86,7.8,2019,7.076923076923076
47,NHL 20,XONE,86,4.1,2019,7.076923076923076
48,Mortal Kombat 11,XONE,86,2.9,2019,7.076923076923076
49,MLB The Show 19,PS4,86,7.8,2019,7.076923076923076
50,BlazBlue: Central Fiction - Special Edition,Switch,86,8.3,2019,7.076923076923076
51,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda,Switch,86,8.3,2019,7.076923076923076
52,Control,PC,85,7.2,2019,7.591304347826087
53,Luigi's Mansion 3,Switch,85,8.6,2019,7.591304347826087
54,Valfaris,PC,85,8.0,2019,7.591304347826087
55,The Outer Worlds,XONE,85,8.3,2019,7.591304347826087
56,Slay the Spire,Switch,85,8.0,2019,7.591304347826087
57,Guacamelee! 2,XONE,85,6.6,2019,7.591304347826087
58,Devotion,PC,85,7.2,2019,7.591304347826087
59,Manifold Garden,PC,85,8.0,2019,7.591304347826087
60,The Witcher 3: Wild Hunt - Complete Edition,Switch,85,8.5,2019,7.591304347826087
61,VA-11 Hall-A: Cyberpunk Bartender Action,PS4,85,5.7,2019,7.591304347826087
62,Blaster Master Zero II,Switch,85,8.5,2019,7.591304347826087
63,Final Fantasy X / X-2 HD Remaster,XONE,85,8.6,2019,7.591304347826087
64,AMID EVIL,PC,85,7.1,2019,7.591304347826087
65,Dragon Quest Builders 2,Switch,85,8.1,2019,7.591304347826087
66,Final Fantasy XII: The Zodiac Age,Switch,85,8.4,2019,7.591304347826087
67,Age of Wonders: Planetfall,XONE,85,6.9,2019,7.591304347826087
68,Steins;Gate Elite,Switch,85,7.6,2019,7.591304347826087
