,metascore,userscore,year,mean_userscore,action,fighting,first-person,flight,party,puzzle,racing,real-time,role-playing,simulation,sports,strategy,third-person,turn-based,wargame,wrestling,name
0,77.0,6.9,2015,7.026298391494004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#IDARB
1,53.0,5.7581395348837185,2016,5.647437114380636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#KILLALLZOMBIES
2,72.5,7.65,2017,6.79340809034391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.hack//G.U. Last Recode
3,73.0,7.3,2015,6.674957745178337,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0RBITALIS
4,58.0,4.8,2017,6.064729729729731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-2-Switch
5,72.0,7.4,2014,6.72193452683688,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10 Second Ninja
6,79.0,4.9,2016,7.144581267995676,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10 Second Ninja X
7,78.0,6.6,2014,7.042202473015331,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001 Spikes
8,56.0,5.9,2017,5.646022727272729,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100ft Robot Golf
9,75.66666666666667,7.599999999999999,2018,6.909184842722115,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11-11: Memories Retold
10,59.0,4.725,2019,5.988887299771167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12 is Better Than 6
11,58.0,6.3,2014,6.064729729729731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1954: Alcatraz
12,75.66666666666667,7.099999999999999,2017,7.0028278688004475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1979 Revolution: Black Friday
13,68.0,5.35,2019,6.489793606318369,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198X
14,73.5,4.45,2014,6.728848848665727,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014 FIFA World Cup Brazil
15,76.0,3.4,2017,6.980890527393748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2064: Read Only Memories
16,74.0,6.4,2018,6.782739952153117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2064: Read Only Memories INTEGRAL
17,77.0,7.8,2018,7.026298391494004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20XX
18,62.333333333333336,6.866666666666667,2017,6.105734748497327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2Dark
19,71.0,3.8,2018,6.621082125603873,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39 Days to Mars
20,81.0,7.8,2015,7.311510194404932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3D After Burner II
21,81.0,7.0,2015,7.311510194404932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3D Fantasy Zone II W
