,openscore,name,platform,year
0,92,Uncharted 4: A Thief's End,PS4,2016
1,92,The Witcher 3: Wild Hunt - Blood and Wine,"PS4, XB1, PC",2016
2,91,Hearthstone: Whispers of the Old Gods,PC,2016
3,91,INSIDE,"PS4, XB1, PC",2016
4,91,Overwatch,"PS4, XB1, PC",2016
5,90,Forza Horizon 3,"XB1, PC",2016
6,90,DoDonPachi Resurrection,PC,2016
7,90,Out of the Park Baseball 17,PC,2016
8,90,Kentucky Route Zero: Act IV,PC,2016
9,90,Stardew Valley,"PS4, XB1, PC, Switch",2016
10,89,Sid Meier's Civilization VI,PC,2016
11,89,Rez Infinite,"PS4, PC",2016
12,88,Rez Infinite (VR),PSVR,2016
13,88,Dark Souls III,"PS4, XB1, PC",2016
14,88,Stephen's Sausage Roll,PC,2016
15,88,Gotta Protectors,3DS,2016
16,88,World of Warcraft: Legion,PC,2016
17,88,Owlboy,"PS4, XB1, PC, Switch",2016
18,88,Odin Sphere Leifthrasir,"PS4, Vita",2016
19,88,Keep Talking and Nobody Explodes (VR),"Oculus, PSVR",2016
20,87,NBA 2K17,"PS4, XB1, PC",2016
21,87,Battlefield 1,"PS4, XB1, PC",2016
22,87,Titanfall 2,"PS4, XB1, PC",2016
23,87,XCOM 2,"PS4, XB1, PC",2016
24,87,Steins;Gate (Steam Edition),PC,2016
25,87,Pokémon Sun and Moon,3DS,2016
26,87,Mortal Kombat XL,"PS4, XB1",2016
27,87,Rise Of The Tomb Raider: 20 Year Celebration,"PS4, XB1, PC",2016
28,86,Fire Emblem Fates: Conquest,3DS,2016
29,86,Picross 3D Round 2,3DS,2016
30,86,Danganronpa: Trigger Happy Havoc (PC Edition),PC,2016
31,86,Ori and the Blind Forest: Definitive Edition,"XB1, PC, Switch",2016
32,86,Ratchet & Clank,PS4,2016
33,86,Dishonored 2,"PS4, XB1, PC",2016
34,86,Rise of the Tomb Raider - PC Edition,PC,2016
35,86,Total War: Warhammer,PC,2016
36,86,The Witness,"PS4, XB1, PC",2016
37,86,Valkyria Chronicles Remastered,PS4,2016
38,85,MLB 16: The Show,PS4,2016
39,85,Monster Hunter Generations,3DS,2016
40,85,Starbound,PC,2016
41,85,Doom,"PS4, XB1, PC",2016
42,85,Pony Island,PC,2016
43,85,Forza Horizon 3 - Blizzard Mountain,"XB1, PC",2016
44,85,Fire Emblem Fates: Birthright,3DS,2016
45,85,Shin Megami Tensei IV: Apocalypse,3DS,2016
46,85,The Legend of Zelda: Twilight Princess HD,Wii-U,2016
47,85,Killer Instinct: Season 3,"XB1, PC",2016
48,85,Thumper (VR),PSVR,2016
49,85,Day of the Tentacle Remastered,"PS4, PC, Vita",2016
