,openscore,name,platform,year
0,92,Resident Evil 2,"PS4, XB1, PC",2019
1,92,DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition,Switch,2019
2,92,Final Fantasy XIV: Shadowbringers,"PS4, PC",2019
3,92,Disco Elysium,PC,2019
4,91,NieR: Automata Game of the YoRHa Edition,"PS4, PC",2019
5,91,Overcooked! 2 - Campfire Cook Off,"PC, XB1, PS4, Switch",2019
6,91,Monster Hunter World: Iceborne,"PS4, XB1, PC",2019
7,90,Sekiro: Shadows Die Twice,"PS4, XB1, PC",2019
8,90,The Elder Scrolls Online: Dragonhold,"PS4, XB1, PC",2019
9,89,Asgard's Wrath,Oculus,2019
10,89,Slay The Spire,"PC, Switch",2019
11,89,Fire Emblem: Three Houses,Switch,2019
12,88,Devil May Cry 5,"PS4, XB1, PC",2019
13,88,Super Mario Maker 2,Switch,2019
14,87,Astral Chain,Switch,2019
15,87,The Legend of Zelda: Link's Awakening,Switch,2019
16,87,Manifold Garden,PC,2019
17,86,Apex Legends,"PS4, XB1, PC",2019
18,86,Ni no Kuni: Wrath of the White Witch Remastered,"PC, PS4, Switch",2019
19,86,Disgaea 4 Complete+,"PS4, Switch",2019
20,86,STEINS;GATE ELITE,"PS4, PC, Switch",2019
21,86,Cadence of Hyrule: Crypt of the NecroDancer,Switch,2019
22,86,Outer Wilds,"PC, XB1, PS4",2019
23,86,Luigi's Mansion 3,Switch,2019
24,86,Amid Evil,PC,2019
25,86,No Man's Sky - Beyond,"PS4, XB1, PC",2019
26,86,MLB 19: The Show,PS4,2019
27,86,F1 2019,"PS4, XB1, PC",2019
28,85,Sunless Skies,PC,2019
29,85,Assault Android Cactus+,Switch,2019
30,85,One Finger Death Punch 2,PC,2019
31,85,The Walking Dead: The Telltale Definitive Series,"PS4, XB1, PC",2019
32,85,The Legend of Heroes: Trails of Cold Steel III,PS4,2019
33,85,The Outer Worlds,"PC, PS4, XB1",2019
34,85,Death Stranding,"PS4, PC",2019
35,85,Dragon Quest Builders 2,"PS4, Switch",2019
36,85,Kingdom Hearts III,"PS4, XB1",2019
37,85,Sayonara Wild Hearts,"PS4, PC, Switch",2019
38,85,Islanders,PC,2019
39,84,Gears 5,"XB1, PC",2019
40,84,BlazBlue: Central Fiction Special Edition,Switch,2019
41,84,Total War: THREE KINGDOMS,PC,2019
42,84,Katana Zero,"PC, Switch, PS4",2019
43,84,The Witcher 3: Wild Hunt - Complete Edition (Switch),Switch,2019
44,84,Nowhere Prophet,PC,2019
45,84,Spirit Hunter: NG,"PC, Switch, Vita, PS4",2019
46,84,Fell Seal: Arbiter's Mark,"PS4, XB1, PC",2019
47,84,Baba Is You,"PC, Switch",2019
48,84,Blaster Master Zero 2,Switch,2019
49,84,Reventure,PC,2019
50,84,Control,"PS4, XB1, PC",2019
51,84,The Sims 4: Island Living,"PS4, XB1, PC",2019
52,83,Crash Team Racing: Nitro-Fueled,"PS4, XB1, Switch",2019
53,83,Collection of Mana,Switch,2019
54,83,APE OUT,"PC, Switch",2019
55,83,Tales of Vesperia: Definitive Edition,"PS4, XB1, PC, Switch",2019
56,83,Kind Words (lo fi chill beats to write to),PC,2019
57,83,Little Misfortune,PC,2019
58,83,Bloodstained: Ritual of the Night,"PC, PS4, XB1, Switch",2019
59,83,Wargroove,"XB1, PC, Switch",2019
60,83,Tom Clancy's The Division 2,"PS4, XB1, PC",2019
61,83,WHAT THE GOLF?,"PC, Switch",2019
62,83,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,3DS,2019
63,83,Dirt Rally 2.0,"PS4, XB1, PC",2019
64,83,Devotion,PC,2019
