학생번호,국어점수,수학점수,영어점수,과학점수
1,90,75,85,60
2,65,90,60,88
3,45,53,48,50
4,77,96,62,92
5,88,89,80,82
6,90,92,90,96
7,65,70,66,76
8,60,90,70,98
9,46,56,43,55
10,88,67,90,70
11,70,93,77,89
12,99,80,95,70
13,97,67,80,60
14,50,40,30,54
15,90,77,92,60
16,55,88,67,92
17,77,90,70,98
18,90,89,80,92
19,76,90,80,92
20,70,92,80,95
21,76,75,70,82
22,77,92,68,89
23,60,50,70,40
24,54,70,56,72
25,72,88,67,95
26,58,76,59,80
27,88,60,76,58
28,84,88,90,92
29,45,76,56,78
30,76,54,70,58
31,66,90,70,88
32,88,80,85,88
33,71,48,69,50
34,90,77,82,65
35,34,32,45,50
36,56,78,67,89
37,70,95,72,80
38,93,90,89,91
39,92,97,90,89
40,56,63,70,71
41,88,57,78,60
42,90,92,88,94
43,91,67,89,70
44,58,77,62,88
45,54,50,45,33
46,78,91,77,90
47,92,70,88,60
48,57,76,58,71
49,97,90,96,90
50,69,55,70,54
51,45,56,54,58
52,65,90,70,92
